latitude,longitude,day_of_week,hour_of_day,weather,availability
51.53612929288257,-0.047789362869026186,0,5,Snowy,0.82
51.550337810124255,-0.27130670140224866,2,20,Cloudy,0.18
51.441572093924705,-0.09527731516653623,5,22,Sunny,0.69
51.55178136933737,-0.018457457567037372,2,12,Snowy,0.97
51.481112886019055,0.04989411923619447,3,4,Rainy,0.91
51.42138727273278,-0.21354811048719247,4,15,Windy,0.31
51.496763306493776,-0.26656889057591715,1,5,Foggy,0.61
51.42955176785931,-0.07137720165907263,1,2,Foggy,0.7
51.52816665112466,0.082954244365883,2,11,Cloudy,0.69
51.539146947317384,-0.2579806270715679,4,7,Rainy,0.53
51.42617426089182,-0.030808629764126683,2,7,Foggy,0.09
51.546380395854236,0.04300954699702936,5,16,Windy,0.5
51.41462751896014,0.09014489633587958,5,4,Clear,0.79
51.403545548982095,-0.2992279161258874,4,18,Windy,0.19
51.53407080804833,-0.10051400171088459,1,14,Foggy,0.07
51.567347575826254,-0.04806785882901066,6,21,Windy,0.35
51.48759119880608,-0.023256385226210763,5,7,Cloudy,0.26
51.5701599226404,-0.07904613608589514,0,13,Windy,0.5
51.540860032655026,-0.2517574551857241,4,20,Sunny,0.51
51.4768561348915,-0.04943047634188513,5,21,Clear,0.74
51.575491205415446,-0.12041687756992589,6,12,Rainy,0.57
51.54922634613424,-0.007054162850074208,6,22,Snowy,0.41
51.503031136145786,-0.26198252767085145,1,12,Cloudy,0.01
51.50953673495055,0.08609253043551346,5,13,Windy,0.93
51.58322481229498,-0.2747809234059127,2,1,Snowy,0.37
51.43345808001798,-0.16822963608289,3,14,Snowy,0.24
51.50560344051975,0.020247978805321143,0,12,Clear,0.77
51.51195727317108,-0.07702011032330838,2,2,Cloudy,0.02
51.56437882325329,0.003072702172016828,0,22,Foggy,0.93
51.47293416729917,0.04082747830289829,1,8,Cloudy,0.81
51.475525754717076,-0.11391844127340536,2,0,Windy,1.0
51.43686222899787,0.08169965436302867,5,13,Cloudy,0.29
51.46761911362176,-0.1705609116531999,0,6,Windy,0.9
51.40607538937815,0.05194416231408944,6,7,Rainy,0.55
51.46545920237284,-0.2617489082723303,2,16,Clear,0.87
51.521602376454126,-0.10724105695546327,4,19,Foggy,0.11
51.58061699784625,-0.17276188686683377,6,19,Sunny,0.37
51.5655780829303,-0.03569187204860147,0,7,Rainy,0.8
51.47814690444212,0.08547906516581733,1,15,Windy,0.37
51.415865572072484,-0.2525643742736767,2,3,Foggy,0.32
51.55700749267023,0.04636757069129249,4,11,Snowy,0.44
51.58067506408776,-0.23954788540303087,4,13,Cloudy,0.2
51.43232042212711,0.04341947398904039,6,1,Sunny,0.78
51.51411150430964,0.052894080881450034,6,10,Rainy,0.01
51.415879135805554,-0.2939422182265879,6,9,Sunny,0.14
51.535947086326466,-0.2922583456312638,6,17,Snowy,0.47
51.58144022447864,0.036164851054955205,3,8,Snowy,0.13
51.45709412957522,0.09340427013824049,4,13,Rainy,0.12
51.50782717960609,0.03461181851116302,5,18,Sunny,0.26
51.481489740421566,-0.048112204247743096,0,21,Windy,0.94
51.40265360361847,0.008438871548065496,2,6,Clear,0.15
51.59858801252472,0.09152627152873644,4,3,Rainy,0.11
51.50718056352358,0.05460434947055409,3,12,Clear,0.95
51.505501208179865,-0.10562447696529581,4,0,Snowy,0.62
51.505006484214775,-0.19986104302671628,3,1,Foggy,0.79
51.404257737830534,-0.13660935661303705,4,7,Snowy,0.65
51.40738718312245,-0.21138537891631273,2,22,Foggy,0.94
51.51704118534618,-0.2865389948578901,6,12,Sunny,0.84
51.43363410858592,0.08501139593780643,5,3,Cloudy,0.92
51.5373940391946,-0.09249092931842703,1,19,Foggy,0.47
51.504219847291665,-0.027838134255876668,1,20,Foggy,0.32
51.447792467508414,-0.24822271587405606,1,8,Sunny,0.54
51.478558706838164,-0.2415665139332705,3,1,Snowy,0.96
51.51018550984987,-0.010490173938847047,1,4,Snowy,0.13
51.469019887567654,-0.2234430847935684,5,21,Clear,0.82
